,カード名,種類,☆,属性,種族,攻撃力,守備力,パスワード,効果・説明
3556,カラクリ小町 弐弐四,ﾁｭｰﾅｰ効果,3,地,機械,0,1900,24621460,このカードは攻撃可能な場合には攻撃しなければならない。フィールド上に表側表示で存在するこのカードが攻撃対象に選択された時、このカードの表示形式を変更する。このカードがフィールド上に表側表示で存在する限り、自分のメインフェイズ時に１度だけ、自分は通常召喚に加えて「カラクリ」と名のついたモンスター１体を召喚する事ができる。
3557,カラクリ忍者 七七四九,効果,5,地,機械,2200,1800,50615578,このカードは攻撃可能な場合には攻撃しなければならない。フィールド上に表側表示で存在するこのカードが攻撃対象に選択された時、このカードの表示形式を変更する。このカードが召喚に成功した時、自分フィールド上に表側守備表示で存在する「カラクリ」と名のついたモンスターの数だけ、自分のデッキからカードをドローする事ができる。
3558,スクラップ・コング,効果,4,地,獣,2000,1000,97000273,このカードが召喚に成功した時、このカードを破壊する。このカードが「スクラップ」と名のついたカードの効果によって破壊され墓地へ送られた場合、「スクラップ・コング」以外の自分の墓地に存在する「スクラップ」と名のついたモンスター１体を選択して手札に加える事ができる。
3559,サシカエル,効果,1,水,水,100,2000,23408872,自分フィールド上に存在する水族モンスター１体をリリースし、自分の墓地に存在する「ガエル」と名のついたモンスター１体を選択して発動する。選択したモンスターを墓地から特殊召喚する。この効果は１ターンに１度しか使用できない。
3560,剣闘獣ティゲル,効果,4,地,獣,1800,800,50893987,このカードは融合素材モンスターとして使用する事はできない。このカードが「剣闘獣」と名のついたモンスターの効果によって特殊召喚に成功した時、手札から「剣闘獣」と名のついたカード１枚を捨てる事で、自分のデッキから「剣闘獣」と名のついたモンスター１体を手札に加える。
3561,瓶亀,効果,4,水,爬虫類,200,2100,96287685,このカードがフィールド上に表側表示で存在する限り、「強欲な瓶」が発動する度に自分のデッキからカードを１枚ドローする。
3562,オーロラ・アンギラス,効果,4,光,天使,1500,1000,22386234,このカードがフィールド上に表側表示で存在する限り、お互いにモンスターを特殊召喚する事はできない。自分または相手フィールド上にモンスターが召喚された時、このカードを破壊する。
3563,ジャンク・バーサーカー,S効果,7,風,戦士,2700,1800,59771339,「ジャンク・シンクロン」＋チューナー以外のモンスター１体以上自分の墓地に存在する「ジャンク」と名のついたモンスター１体をゲームから除外し、相手フィールド上に表側表示で存在するモンスター１体を選択して発動する。選択した相手モンスターの攻撃力は、除外したモンスターの攻撃力分ダウンする。また、このカードが守備表示のモンスターを攻撃した場合、ダメージ計算を行わずそのモンスターを破壊する。
3564,ライフ・ストリーム・ドラゴン,Sﾁｭｰﾅｰ,8,地,ドラゴン,2900,2400,25165047,チューナー＋「パワー・ツール・ドラゴン」このカードがシンクロ召喚に成功した時、自分のライフポイントを４０００にする事ができる。このカードがフィールド上に表側表示で存在する限り、自分が受ける効果ダメージは０になる。また、フィールド上に表側表示で存在するこのカードが破壊される場合、代わりに自分の墓地に存在する装備魔法カード１枚をゲームから除外する事ができる。
3565,ＴＧ レシプロ・ドラゴン・フライ,S効果,2,風,昆虫,300,300,62560742,チューナー＋チューナー以外のモンスター１体１ターンに１度、このカード以外の自分フィールド上に表側表示で存在する「ＴＧ」と名のついたシンクロモンスター１体を選択して発動する事ができる。選択したモンスターを墓地へ送る。さらに、墓地へ送ったモンスターのシンクロ召喚に使用したシンクロモンスター一組が自分の墓地に揃っていれば、この一組を自分フィールド上に特殊召喚する事ができる。
3566,ＴＧ ワンダー・マジシャン,Sﾁｭｰﾅｰ,5,光,魔法使い,1900,0,98558751,チューナー＋チューナー以外の「ＴＧ」と名のついたモンスター１体以上このカードがシンクロ召喚に成功した時、フィールド上に存在する魔法・罠カード１枚を選択して破壊する。フィールド上に存在するこのカードが破壊された時、自分のデッキからカードを１枚ドローする。また、相手のメインフェイズ時、自分フィールド上に表側表示で存在するこのカードをシンクロ素材としてシンクロ召喚をする事ができる。
3567,ＴＧ パワー・グラディエイター,S効果,5,地,戦士,2300,1000,24943456,チューナー＋チューナー以外の「ＴＧ」と名のついたモンスター１体以上このカードが守備表示モンスターを攻撃した時、その守備力を攻撃力が超えていれば、その数値だけ相手ライフに戦闘ダメージを与える。フィールド上に存在するこのカードが破壊された時、自分のデッキからカードを１枚ドローする。
3568,ＴＧ ブレード・ガンナー,S効果,10,地,機械,3300,2200,51447164,シンクロモンスターのチューナー１体＋チューナー以外のシンクロモンスター１体以上このカードを対象とする相手の魔法・罠カードが発動した時、手札を１枚墓地へ送る事で、その効果を無効にする。また、相手ターンに１度、自分の墓地に存在する「ＴＧ」と名のついたモンスター１体をゲームから除外する事で、フィールド上に表側表示で存在するこのカードをゲームから除外する。次のスタンバイフェイズ時、この効果で除外したこのカードを特殊召喚する。
3569,ＴＧ ハルバード・キャノン,S効果,12,地,機械,4000,4000,97836203,シンクロモンスターのチューナー１体＋チューナー以外のシンクロモンスター２体以上このカードはシンクロ召喚でしか特殊召喚できない。このカードがフィールド上に表側表示で存在する場合、１ターンに１度だけモンスターの召喚・反転召喚・特殊召喚を無効にし破壊する事ができる。このカードがフィールド上から墓地へ送られた時、自分の墓地に存在する「ＴＧ」と名のついたモンスター１体を選択して特殊召喚する事ができる。
3570,メンタルオーバー・デーモン,S効果,9,闇,サイキック,3300,3000,24221808,サイキック族チューナー＋チューナー以外のサイキック族モンスター２体以上１ターンに１度、自分の墓地に存在するサイキック族モンスター１体を選択してゲームから除外する事ができる。このカードがフィールド上から墓地へ送られた時、このカードの効果で除外したモンスターを可能な限り自分フィールド上に特殊召喚する。
3571,クリムゾン・ヘル・セキュア,通常魔法,,,,,,50215517,自分フィールド上に「レッド・デーモンズ・ドラゴン」が表側表示で存在する場合のみ発動する事ができる。相手フィールド上に存在する魔法・罠カードを全て破壊する。
3572,紅蓮魔竜の壺,通常魔法,,,,,,87614611,自分フィールド上に「レッド・デーモンズ・ドラゴン」が表側表示で存在する場合のみ発動する事ができる。自分のデッキからカードを２枚ドローする。このカードを発動する場合、次の相手ターン終了時まで自分はモンスターを召喚・特殊召喚する事はできない。
3573,コール・リゾネーター,通常魔法,,,,,,23008320,(1)：デッキから「リゾネーター」モンスター１体を手札に加える。
3574,共鳴破,永続魔法,,,,,,59593925,このカードがフィールド上に存在する限り、「リゾネーター」と名のついたモンスターがシンクロ素材として墓地へ送られる度に、相手フィールド上に存在するカード１枚を選択して破壊する。このカードは発動後２回目の自分のエンドフェイズ時に破壊される。
3575,機動要塞フォルテシモ,ﾌｨｰﾙﾄﾞ魔法,,,,,,86997073,１ターンに１度、自分の手札から「機皇兵」と名のついたモンスター１体を自分フィールド上に特殊召喚する事ができる。
3576,機皇帝の賜与,通常魔法,,,,,,12986778,フィールド上に表側表示で存在するモンスターが「機皇」と名のついたモンスター２体のみの場合に発動する事ができる。自分のデッキからカードを２枚ドローする。このカードを発動するターン、自分はバトルフェイズを行う事ができない。
3577,鉄壁の機皇兵,永続魔法,,,,,,59371387,このカードがフィールド上に存在する限り、自分フィールド上に表側攻撃表示で存在する「機皇兵」と名のついたモンスターの効果は無効化され、戦闘では破壊されない。
3578,再機動,通常魔法,,,,,,85775486,自分の手札から「機皇」と名のついたモンスター１体をデッキに戻して発動する。自分の墓地に存在する「機皇」と名のついたカード１枚を選択して手札に加える。
3579,ＴＧＸ１-ＨＬ,速攻魔法,,,,,,11264180,自分フィールド上に表側表示で存在する「ＴＧ」と名のついたモンスター１体を選択して発動する。選択したモンスターの攻撃力・守備力を半分にし、フィールド上に存在する魔法・罠カード１枚を破壊する。
3580,ＴＧＸ３００,永続魔法,,,,,,58258899,自分フィールド上に表側表示で存在する「ＴＧ」と名のついたモンスター１体につき、自分フィールド上に表側表示で存在するモンスターの攻撃力は３００ポイントアップする。
3581,超能力増幅器,速攻魔法,,,,,,84653834,このカードの発動時に、自分フィールド上に表側表示で存在する全てのサイキック族モンスターの攻撃力は、ゲームから除外されている自分のサイキック族モンスターの数×３００ポイントアップする。この効果を受けたモンスターはエンドフェイズ時にゲームから除外される。
3582,サイコ・フィール・ゾーン,通常魔法,,,,,,11047543,ゲームから除外されている自分のサイキック族のチューナー１体とチューナー以外のサイキック族モンスター１体を墓地に戻し、そのレベルの合計と同じレベルのサイキック族のシンクロモンスター１体をエクストラデッキから表側守備表示で特殊召喚する。
3583,紫炎の道場,永続魔法,,,,,,47436247,「六武衆」と名のついたモンスターが召喚・特殊召喚される度に、このカードに武士道カウンターを１つ置く。このカードを墓地へ送る事で、このカードに乗っている武士道カウンターの数以下のレベルを持つ「六武衆」または「紫炎」と名のついた効果モンスター１体を自分のデッキから特殊召喚する。
3584,カラクリ大暴走,速攻魔法,,,,,,83831356,フィールド上に表側表示で存在する「カラクリ」と名のついたモンスター１体を選択して発動する。エンドフェイズ時まで、選択したモンスターの攻撃力は１０００ポイントアップし、効果は無効化される。
3585,儀水鏡との交信,通常魔法,,,,,,10925955,自分フィールド上に水属性モンスターが表側表示で存在する場合、以下の効果から１つを選択して発動する。自分フィールド上に水属性の儀式モンスターが表側表示で存在する場合、両方を選択して発動する事ができる。●相手の魔法＆罠カードゾーンにセットされているカードを全て確認して元に戻す。●自分または相手のデッキの上からカードを２枚確認し、好きな順番でデッキの上に戻す。
3586,完全防音壁,通常魔法,,,,,,42314669,自分フィールド上にシンクロモンスターが表側表示で存在しない場合、メインフェイズ１の開始時に発動する事ができる。次の相手のエンドフェイズ時まで、お互いにシンクロモンスターを特殊召喚する事ができない。
3587,急転直下,永続魔法,,,,,,79718768,相手が墓地に存在するカードを対象とする魔法・罠・効果モンスターの効果を発動した場合このカードを破壊する。このカードの効果によってこのカードが破壊され墓地へ送られた時、相手は墓地に存在するカードを全てデッキに加えてシャッフルする。
3588,即神仏,速攻魔法,,,,,,15103313,自分フィールド上に存在するモンスター１体を選択して墓地へ送る。
3589,スカーレッド・カーペット,通常罠,,,,,,41197012,(1)：フィールドにドラゴン族Ｓモンスターが存在する場合、自分の墓地の「リゾネーター」モンスターを２体まで対象として発動できる。そのモンスターを特殊召喚する。
3590,パワーアップ・コネクター,通常罠,,,,,,78586116,発動後このカードは装備カードとなり、自分フィールド上に表側表示で存在する「Ｄ（ディフォーマー）」と名のついたモンスター１体に装備する。装備モンスターは攻撃をする事ができない。この効果で装備された時、装備モンスター以外のフィールド上に表側表示で存在するモンスター１体を選択する。選択したモンスターの攻撃力は装備モンスターの攻撃力分アップする。
3591,カオス・インフィニティ,通常罠,,,,,,04081825,フィールド上に守備表示で存在するモンスターを全て表側攻撃表示にする。さらに、自分のデッキまたは墓地から「機皇」と名のついたモンスター１体を特殊召喚する。この効果で特殊召喚したモンスターの効果は無効化され、エンドフェイズ時に破壊される。
3592,機限爆弾,通常罠,,,,,,41475424,自分フィールド上に表側表示で存在する「機皇」と名のついたモンスター１体と、相手フィールド上に存在するカード１枚を選択して発動する。選択したカードを破壊する。
3593,機皇廠,通常罠,,,,,,77864539,フィールド上に表側表示で存在する「機皇」と名のついたモンスターが攻撃対象に選択された時に発動する事ができる。自分の墓地に存在する「機皇兵」と名のついたモンスター１体を選択して手札に加える。その後、攻撃対象となったモンスターを破壊する。
3594,ＴＧＸ３-ＤＸ２,通常罠,,,,,,03868277,自分の墓地に存在する「ＴＧ」と名のついたモンスター３体を選択して発動する。選択したモンスターをデッキに加えてシャッフルする。その後、自分のデッキからカードを２枚ドローする。
3595,ＴＧ-ＳＸ１,通常罠,,,,,,40253382,自分フィールド上に存在する「ＴＧ」と名のついたモンスターが戦闘によって相手モンスターを破壊し墓地へ送った時に発動する事ができる。自分の墓地に存在する「ＴＧ」と名のついたシンクロモンスター１体を選択して特殊召喚する。
3596,ＴＧ１-ＥＭ１,通常罠,,,,,,76641981,相手フィールド上に存在するモンスター１体と、自分フィールド上に表側表示で存在する「ＴＧ」と名のついたモンスター１体を選択して発動する。選択したモンスターのコントロールを入れ替える。
3597,サイコ・リアクター,通常罠,,,,,,03146695,自分フィールド上にサイキック族モンスターが表側表示で存在する場合に発動する事ができる。自分フィールド上に表側表示で存在するサイキック族モンスターがこのターン相手モンスターと戦闘を行った時、そのサイキック族モンスターと相手モンスターをゲームから除外する。
3598,ブレインハザード,永続罠,,,,,,39531794,ゲームから除外されている自分のサイキック族モンスター１体を選択し、自分フィールド上に特殊召喚する。このカードがフィールド上から離れた時、そのモンスターを破壊する。そのモンスターが破壊された時このカードを破壊する。
3599,六武派二刀流,通常罠,,,,,,75525309,自分フィールド上に存在するモンスターが、表側攻撃表示で存在する「六武衆」と名のついたモンスター１体のみの場合に発動する事ができる。相手フィールド上に存在するカード２枚を選択して持ち主の手札に戻す。
3600,借カラクリ整備蔵,ｶｳﾝﾀｰ罠,,,,,,02924048,自分フィールド上に「カラクリ」と名のついたモンスターが表側守備表示で存在する場合に発動する事ができる。相手が発動した魔法・罠カードの発動を無効にし破壊する。
3601,暴君の暴力,永続罠,,,,,,38318146,自分フィールド上に存在するモンスター２体をリリースして発動する。このカードがフィールド上に存在する限り、相手はデッキから魔法カード１枚を墓地へ送らなければ魔法カードを発動できない。
3602,透破抜き,ｶｳﾝﾀｰ罠,,,,,,65703851,手札または墓地で発動する効果モンスターの効果の発動を無効にしゲームから除外する。
3603,木遁封印式,永続罠,,,,,,01802450,１ターンに１度、自分フィールド上に表側表示で存在する地属性モンスター１体をリリースする事で、相手の墓地に存在するカードを２枚まで選択してゲームから除外する。
3604,安全地帯,永続罠,,,,,,38296564,フィールド上に表側攻撃表示で存在するモンスター１体を選択して発動できる。選択したモンスターは相手のカードの効果の対象にならず、戦闘及び相手のカードの効果では破壊されない。また、そのモンスターは相手プレイヤーに直接攻撃できない。このカードがフィールド上から離れた時、そのモンスターを破壊する。そのモンスターがフィールド上から離れた時、このカードを破壊する。
3605,局地的大ハリケーン,通常罠,,,,,,64681263,自分の手札・墓地に存在するカードを全て持ち主のデッキに戻してシャッフルする。
3606,Ｗ星雲隕石,通常罠,,,,,,90075978,フィールド上に裏側表示で存在するモンスターを全て表側守備表示にする。このターンのエンドフェイズ時に自分フィールド上に表側表示で存在する爬虫類族・光属性モンスターを全て裏側守備表示にし、その枚数分だけ自分はデッキからカードをドローする。その後、自分のデッキからレベル７以上の爬虫類族・光属性モンスター１体を特殊召喚する事ができる。
3607,死の花-ネクロ・フルール,効果,1,闇,植物,0,0,99000151,このカードがカードの効果によって破壊され墓地へ送られた場合、自分のデッキから「時花の魔女-フルール・ド・ソルシエール」１体を特殊召喚する事ができる。
3608,時花の魔女-フルール・ド・ソルシエール,効果,8,闇,魔法使い,2900,0,36405256,このカードが召喚・特殊召喚に成功した時、相手の墓地に存在するモンスター１体を選択して発動する。選択したモンスターを自分フィールド上に特殊召喚する。この効果で特殊召喚したモンスターは相手プレイヤーに直接攻撃する事はできず、このターンのエンドフェイズ時に破壊される。「時花の魔女-フルール・ド・ソルシエール」の効果は１ターンに１度しか使用できない。
3609,Ｚ-ＯＮＥ,通常魔法,,,,,,62499965,セットされたこのカードが破壊され墓地へ送られた時に発動する。自分の墓地から永続魔法またはフィールド魔法カード１枚を選択して手札に加える。
3610,ブルーローズ・ドラゴン,効果,4,闇,ドラゴン,1600,1200,98884569,フィールド上に存在するこのカードが破壊され墓地へ送られた時、自分の墓地に存在する「ブラック・ローズ・ドラゴン」または植物族モンスター１体を選択して特殊召喚する事ができる。
3611,Ｓｉｎ パラレルギア,ﾁｭｰﾅｰ効果,2,闇,機械,0,0,74509280,このカードをシンクロ素材とする場合、他のシンクロ素材モンスターは手札の「Ｓｉｎ」と名のついたモンスター１体でなければならない。
3612,Ｓｉｎ サイバー・エンド・ドラゴン,効果,10,闇,機械,4000,2800,01710476,このカードは通常召喚できない。自分のエクストラデッキから「サイバー・エンド・ドラゴン」１体をゲームから除外した場合のみ特殊召喚できる。「Ｓｉｎ」と名のついたモンスターはフィールド上に１体しか表側表示で存在できない。このカードが表側表示で存在する限り、自分の他のモンスターは攻撃宣言できない。フィールド魔法カードが表側表示で存在しない場合このカードを破壊する。
3613,Ｓｉｎ レインボー・ドラゴン,効果,10,闇,ドラゴン,4000,0,00598988,このカードは通常召喚できない。自分の手札・デッキから「究極宝玉神 レインボー・ドラゴン」１体をゲームから除外した場合のみ特殊召喚できる。「Ｓｉｎ」と名のついたモンスターはフィールド上に１体しか表側表示で存在できない。このカードが表側表示で存在する限り、自分の他のモンスターは攻撃宣言できない。フィールド魔法カードが表側表示で存在しない場合このカードを破壊する。
3614,ジャンク・ガードナー,S効果,6,地,戦士,1400,2600,37993923,「ジャンク・シンクロン」＋チューナー以外のモンスター１体以上１ターンに１度、相手フィールド上に存在するモンスター１体を選択し、表示形式を変更する事ができる。この効果は相手ターンでも発動する事ができる。また、このカードがフィールド上から墓地へ送られた場合、フィールド上に存在するモンスター１体を選択し、表示形式を変更する事ができる。
3615,Ｓｉｎ パラドクス・ドラゴン,S効果,10,闇,ドラゴン,4000,4000,08310162,「Ｓｉｎ パラレルギア」＋チューナー以外の「Ｓｉｎ」と名のついたモンスター１体このカードがシンクロ召喚に成功した時、自分または相手の墓地に存在するシンクロモンスター１体を選択して特殊召喚する事ができる。「Ｓｉｎ パラドクス・ドラゴン」はフィールド上に１体しか表側表示で存在できない。フィールド上に表側表示で「Ｓｉｎ Ｗｏｒｌｄ」が存在しない場合、このカードを破壊する。
3616,Ｓｉｎ Ｗｏｒｌｄ,ﾌｨｰﾙﾄﾞ魔法,,,,,,27564031,このカードがフィールド上に存在する限り、自分のドローフェイズ時に通常のドローを行う代わりに発動する事ができる。自分のデッキから「Ｓｉｎ」と名のついたカード３枚を選択し、相手はその中からランダムに１枚選択する。相手が選択したカード１枚を自分の手札に加え、残りのカードをデッキに戻してシャッフルする。
3617,Ｓｉｎ Ｃｌａｗ Ｓｔｒｅａｍ,通常罠,,,,,,53063039,自分フィールド上に「Ｓｉｎ」と名のついたモンスターが表側表示で存在する場合に発動する事ができる。相手フィールド上に存在するモンスター１体を選択して破壊する。
3618,ズババナイト,効果,3,地,戦士,1600,900,97896503,このカードが表側守備表示のモンスターを攻撃した場合、ダメージ計算を行わずそのモンスターを破壊する。
3619,ガンバラナイト,効果,4,光,戦士,0,1800,24291651,フィールド上に表側攻撃表示で存在するこのカードが攻撃対象に選択された時、このカードの表示形式を守備表示にできる。
3620,ハウリング・ウォリアー,効果,3,地,戦士,800,700,50785356,このカードが召喚・特殊召喚に成功した時、自分フィールド上に表側表示で存在するモンスター１体を選択して発動できる。選択したモンスターのレベルは３になる。
3621,スピッド・バード,効果,4,風,鳥獣,1200,1000,86174055,このカードが戦闘によって破壊され墓地へ送られた時、自分の墓地に存在するレベル２のモンスター２体を選択して特殊召喚する事ができる。この効果で特殊召喚したモンスターの効果は無効化される。
3622,鍵戦士キーマン,効果,2,地,戦士,1000,500,23168060,１ターンに１度、自分のメインフェイズ時に発動する事ができる。このターンのエンドフェイズ時まで、このカードのレベルは３になる。
3623,転身テンシーン,効果,2,光,天使,800,100,59563768,このカードの攻撃力は、自分フィールド上に表側表示で存在するレベル２モンスターの数×４００ポイントアップする。
3624,シャインナイト,効果,3,光,戦士,400,1900,86952477,このカードがフィールド上に表側守備表示で存在する限り、このカードのレベルは４になる。
3625,悪シノビ,効果,2,闇,戦士,400,800,26046205,フィールド上に表側攻撃表示で存在するこのカードが攻撃対象に選択された時、自分のデッキからカードを１枚ドローする。
3626,戦士ラーズ,効果,4,地,戦士,1600,1200,89529919,このカードが召喚・特殊召喚に成功した時、自分のデッキから「戦士ラーズ」以外のレベル４以下の戦士族モンスター１体を選択し、デッキの一番上に置く。
3627,破天荒な風,通常魔法,,,,,,22346472,自分フィールド上に表側表示で存在するモンスター１体を選択して発動できる。選択したモンスターの攻撃力・守備力は、次の自分のスタンバイフェイズ時まで１０００ポイントアップする。
3628,波動共鳴,通常魔法,,,,,,58441120,フィールド上に表側表示で存在するモンスター１体を選択して発動する。選択したモンスターのレベルはエンドフェイズ時まで４になる。
3629,エクシーズエナジー,通常魔法,,,,,,85839825,自分フィールド上のエクシーズ素材を１つ取り除いて発動できる。相手フィールド上に表側表示で存在するモンスター１体を選択して破壊する。
3630,強化空間,通常罠,,,,,,11224934,自分フィールド上に表側表示で存在する全てのエクシーズモンスターの攻撃力は、エンドフェイズ時までそのモンスターのエクシーズ素材１つにつき３００ポイントアップする。
3631,エクシーズエフェクト,通常罠,,,,,,58628539,自分がエクシーズ召喚に成功した時、フィールド上のカード１枚を選択して発動できる。選択したカードを破壊する。
3632,トゥルース・リインフォース,通常罠,,,,,,10118318,デッキからレベル２以下の戦士族モンスター１体を特殊召喚する。このカードを発動するターン、自分はバトルフェイズを行えない。
3633,Ｎｏ.３９ 希望皇ホープ,X効果,4,光,戦士,2500,2000,84013237,レベル４モンスター×２(1)：自分または相手のモンスターの攻撃宣言時、このカードのＸ素材を１つ取り除いて発動できる。そのモンスターの攻撃を無効にする。(2)：このカードがＸ素材の無い状態で攻撃対象に選択された場合に発動する。このカードを破壊する。
3634,ガチガチガンテツ,X効果,2,地,岩石,500,1800,10002346,レベル２モンスター×２フィールド上のこのカードが破壊される場合、代わりにこのカードのエクシーズ素材を１つ取り除く事ができる。このカードがフィールド上に表側表示で存在する限り、自分フィールド上のモンスターの攻撃力・守備力は、このカードのエクシーズ素材の数×２００ポイントアップする。
3635,グレンザウルス,X効果,3,炎,恐竜,2000,1900,47506081,レベル３モンスター×２このカードが戦闘によって相手モンスターを破壊し墓地へ送った時、このカードのエクシーズ素材を１つ取り除いて発動できる。相手ライフに１０００ポイントダメージを与える。
3636,ファイターズ・エイプ,効果,4,闇,獣,1900,1200,41098335,このカードが戦闘によって相手モンスターを破壊した場合、このカードの攻撃力は３００ポイントアップする。このカードが自分のターンで攻撃を行っていない場合、この効果でアップした数値はそのターンのエンドフェイズ時に０に戻る。
3637,クローザー・フォレスト,ﾌｨｰﾙﾄﾞ魔法,,,,,,78082039,自分の墓地に存在するモンスター１体につき、自分フィールド上に表側表示で存在する獣族モンスターの攻撃力は１００ポイントアップする。このカードがフィールド上に存在する限り、フィールド魔法カードを発動する事はできない。このカードが破壊されたターン、フィールド魔法カードを発動する事はできない。
3638,吠え猛る大地,永続罠,,,,,,04587638,自分フィールド上に存在する獣族モンスターが守備表示モンスターを攻撃した時、その守備力を攻撃力が超えていれば、その数値だけ相手ライフに戦闘ダメージを与える。この効果が適用された事によって相手ライフに戦闘ダメージを与えた時、相手フィールド上に表側表示で存在するモンスター１体の攻撃力・守備力は５００ポイントダウンする。
3639,マジシャンズ・エイプ,効果,3,闇,獣,800,1200,31975743,このカードは特殊召喚できない。このカードがフィールド上に表側攻撃表示で存在する場合、１ターンに１度、手札のモンスター１体を墓地へ送り、相手フィールド上に表側守備表示で存在するモンスター１体を選択して発動する事ができる。このターンのエンドフェイズ時まで、選択したモンスターのコントロールを得る。この効果でコントロールを得たモンスターは、このターン表示形式を変更する事はできない。
3640,究極時械神セフィロン,効果,10,光,天使,4000,4000,08967776,このカードは通常召喚できない。自分の墓地にモンスターが１０体以上存在する場合のみ特殊召喚する事ができる。１ターンに１度、レベル８以上の天使族モンスター１体を自分の手札・墓地から特殊召喚する事ができる。この効果で特殊召喚したモンスターの効果は無効化され、攻撃力は４０００になる。
3641,シューティング・クェーサー・ドラゴン,S効果,12,光,ドラゴン,4000,4000,35952884,シンクロモンスターのチューナー１体＋チューナー以外のシンクロモンスター２体以上このカードはシンクロ召喚でしか特殊召喚できない。このカードはこのカードのシンクロ素材としたチューナー以外のモンスターの数まで、１度のバトルフェイズ中に攻撃する事ができる。１ターンに１度、魔法・罠・効果モンスターの効果の発動を無効にし破壊する事ができる。このカードがフィールド上から離れた時、「シューティング・スター・ドラゴン」１体をエクストラデッキから特殊召喚する事ができる。
3642,ガガガマジシャン,効果,4,闇,魔法使い,1500,1000,26082117,１ターンに１度、自分のメインフェイズ時に１から８までの任意のレベルを宣言して発動できる。エンドフェイズ時まで、このカードのレベルは宣言したレベルになる。「ガガガマジシャン」は自分フィールド上に１体しか表側表示で存在できない。このカードはシンクロ素材にできない。
3643,ゴゴゴゴーレム,効果,4,地,岩石,1800,1500,62476815,(1)：守備表示のこのカードは、１ターンに１度だけ戦闘では破壊されない。
3644,アチャチャアーチャー,効果,3,炎,戦士,1200,600,98865920,このカードが召喚・反転召喚に成功した時、相手ライフに５００ポイントダメージを与える。
3645,ゴブリンドバーグ,効果,4,地,戦士,1400,0,25259669,(1)：このカードが召喚に成功した時に発動できる。手札からレベル４以下のモンスター１体を特殊召喚する。この効果を発動した場合、このカードは守備表示になる。
3646,ビッグ・ジョーズ,効果,3,水,魚,1800,300,51254277,このカードは攻撃した場合、バトルフェイズ終了時にゲームから除外される。
3647,スカル・クラーケン,効果,3,闇,水,600,1600,98649372,このカードが召喚に成功した時、相手フィールド上に表側表示で存在する魔法カード１枚を選択して破壊する事ができる。１ターンに１度、このカードの表示形式を変更する事ができる。
3648,ドリル・バーニカル,効果,3,水,水,300,0,24137081,このカードは相手プレイヤーに直接攻撃する事ができる。このカードが直接攻撃によって相手ライフに戦闘ダメージを与える度に、このカードの攻撃力は１０００ポイントアップする。
3649,ジョーズマン,効果,6,水,獣戦士,2600,1600,50532786,このカードは特殊召喚できない。このカードをアドバンス召喚する場合、リリースするモンスターは水属性モンスターでなければならない。このカードの攻撃力は、このカード以外の自分フィールド上に表側表示で存在する水属性モンスター１体につき３００ポイントアップする。
3650,バグマンＸ,効果,3,闇,悪魔,0,2000,87526784,このカードが召喚に成功した時、自分フィールド上に「バグマンＹ」が表側表示で存在する場合、自分のデッキから「バグマンＺ」１体を特殊召喚する事ができる。
3651,バグマンＹ,効果,3,闇,悪魔,1400,1600,23915499,このカードが召喚に成功した時、自分フィールド上に「バグマンＺ」が表側表示で存在する場合、自分のデッキから「バグマンＸ」１体を特殊召喚する事ができる。
3652,バグマンＺ,効果,3,闇,悪魔,0,1500,50319138,このカードが召喚に成功した時、自分フィールド上に「バグマンＸ」が表側表示で存在する場合、自分のデッキから「バグマンＹ」１体を特殊召喚する事ができる。
3653,スーパーバグマン,効果,4,闇,悪魔,0,3000,86804246,このカードは通常召喚できない。自分の墓地に存在する「バグマンＸ」「バグマンＹ」「バグマンＺ」をゲームから除外した場合に表側守備表示で特殊召喚する事ができる。このカードがフィールド上に表側表示で存在する限り、フィールド上に表側攻撃表示で存在する全てのモンスターの攻撃力・守備力を入れ替える。「スーパーバグマン」はフィールド上に１体しか表側表示で存在できない。
3654,ゼンマイソルジャー,効果,4,地,戦士,1800,1200,12299841,自分のメインフェイズ時に発動する事ができる。エンドフェイズ時までこのカードのレベルを１つ上げ、攻撃力を４００ポイントアップする。この効果はこのカードがフィールド上に表側表示で存在する限り１度しか使用できない。
3655,ゼンマイマジシャン,効果,4,炎,魔法使い,600,1800,59297550,「ゼンマイマジシャン」以外の「ゼンマイ」と名のついたモンスターの効果が発動した場合、自分のデッキから「ゼンマイ」と名のついたレベル４以下のモンスター１体を表側守備表示で特殊召喚する事ができる。この効果はこのカードがフィールド上に表側表示で存在する限り１度しか使用できない。
3656,ゼンマイジャグラー,効果,4,風,サイキック,1700,1000,85682655,このカードが相手モンスターと戦闘を行った場合、その相手モンスターをダメージ計算後に破壊する事ができる。この効果はこのカードがフィールド上に表側表示で存在する限り１度しか使用できない。
3657,ゼンマイドッグ,効果,3,地,獣,1200,900,12076263,自分のメインフェイズ時に発動する事ができる。エンドフェイズ時までこのカードのレベルを２つ上げ、攻撃力を６００ポイントアップする。この効果はこのカードがフィールド上に表側表示で存在する限り１度しか使用できない。
3658,ゼンマイマイ,効果,2,水,水,100,2000,58475908,自分のメインフェイズ時、フィールド上にセットされたカード１枚を選択して持ち主の手札に戻す事ができる。この効果はこのカードがフィールド上に表側表示で存在する限り１度しか使用できない。
